Date,Auction,Change
10/15/2018,1,same
10/25/2018,1,same
10/31/2018,1,same
11/2/2018,1,same
11/9/2018,1,same
11/12/2018,1,same
11/19/2018,1,same
11/26/2018,1,same
12/21/2018,1,same
1/4/2019,1,same
1/7/2019,1,same
1/8/2019,1,same
1/9/2019,1,same
1/10/2019,1,same
1/11/2019,1,same
1/14/2019,1,same
1/17/2019,1,same
1/21/2019,1,same
1/22/2019,1,same
1/23/2019,1,same
1/24/2019,1,same
1/25/2019,1,same
1/29/2019,1,same
1/30/2019,1,same
1/31/2019,1,same
2/1/2019,1,same
2/4/2019,1,same
2/5/2019,1,same
2/6/2019,1,same
2/7/2019,1,same
2/8/2019,1,same
2/11/2019,1,same
2/12/2019,1,same
2/13/2019,1,same
2/15/2019,1,same
2/18/2019,1,same
2/19/2019,1,same
2/20/2019,1,same
2/22/2019,1,same
2/25/2019,1,same
2/26/2019,2.5,up
2/27/2019,2.5,same
2/28/2019,2.5,same
3/1/2019,2.5,same
3/2/2019,2.5,same
3/3/2019,2.5,same
3/4/2019,2.5,same
3/5/2019,2.5,same
3/6/2019,2.5,same
3/7/2019,2.5,same
3/8/2019,2.51,up
3/11/2019,2.54,up
3/12/2019,2.54,same
3/13/2019,2.6,up
3/14/2019,2.71,up
3/15/2019,2.71,same
3/18/2019,2.75,up
3/19/2019,2.77,up
3/20/2019,2.77,same
3/21/2019,2.85,up
3/22/2019,2.93,up
3/25/2019,2.95,up
3/26/2019,2.95,same
3/27/2019,2.96,up
3/28/2019,2.98,up
3/29/2019,3.01,up
4/1/2019,3.01,same
4/2/2019,3.02,up
4/3/2019,3.02,same
4/4/2019,3.06,up
4/5/2019,3.06,same
4/6/2019,3.06,same
4/7/2019,3.06,same
4/8/2019,3.09,up
4/9/2019,3.11,up
4/10/2019,3.13,up
4/11/2019,3.13,same
4/12/2019,3.14,up
4/13/2019,3.14,same
4/14/2019,3.14,same
4/15/2019,3.16,up
4/16/2019,3.18,up
4/17/2019,3.18,same
4/18/2019,3.18,same
4/19/2019,3.18,same
4/20/2019,3.18,same
4/21/2019,3.18,same
4/22/2019,3.18,same
4/23/2019,3.19,up
4/24/2019,3.21,up
4/25/2019,3.23,up
4/26/2019,3.23,same
4/27/2019,3.23,same
4/28/2019,3.23,same
4/29/2019,3.25,up
4/30/2019,3.25,same
5/1/2019,3.25,same
5/2/2019,3.26,up
5/3/2019,3.26,same
5/4/2019,3.26,same
5/5/2019,3.26,same
5/6/2019,3.29,up
5/7/2019,3.29,same
5/8/2019,3.3,up
5/9/2019,3.3,same
5/10/2019,3.3,same
5/11/2019,3.3,same
5/12/2019,3.3,same
5/13/2019,3.33,up
5/14/2019,3.33,same
5/15/2019,3.38,up
5/16/2019,3.44,up
5/17/2019,3.44,same
5/18/2019,3.44,same
5/19/2019,3.44,same
5/20/2019,3.48,up
5/21/2019,3.48,same
5/22/2019,4.54,up
5/23/2019,4.68,up
5/24/2019,4.76,up
5/25/2019,4.76,same
5/26/2019,4.76,same
5/27/2019,4.95,up
5/28/2019,5.07,up
5/29/2019,5.16,up
5/30/2019,5.22,up
5/31/2019,5.26,up
6/1/2019,5.26,same
6/2/2019,5.26,same
6/3/2019,5.41,up
6/4/2019,5.51,up
6/5/2019,5.59,up
6/6/2019,5.64,up
6/7/2019,5.73,up
6/8/2019,5.73,same
6/9/2019,5.73,same
6/10/2019,5.8,up
6/11/2019,5.86,up
6/12/2019,5.88,up
6/13/2019,5.91,up
6/14/2019,6,up
6/15/2019,6,same
6/16/2019,6,same
6/17/2019,6.08,up
6/18/2019,6.12,up
6/19/2019,6.12,same
6/20/2019,6.17,up
6/21/2019,6.28,up
6/22/2019,6.28,same
6/23/2019,6.28,same
6/24/2019,6.32,up
6/25/2019,6.31,down
6/26/2019,6.36,up
6/27/2019,6.54,up
6/28/2019,6.54,same
6/29/2019,6.54,same
6/30/2019,6.54,same
7/1/2019,7.24,up
7/2/2019,7.8,up
7/3/2019,8.39,up
7/4/2019,8.58,up
7/5/2019,8.68,up
7/6/2019,8.68,same
7/7/2019,8.68,same
7/8/2019,8.68,same
7/9/2019,8.61,down
7/10/2019,8.67,up
7/11/2019,8.71,up
7/12/2019,8.74,up
7/13/2019,8.74,same
7/14/2019,8.74,same
7/15/2019,8.77,up
7/16/2019,8.82,up
7/17/2019,8.83,up
7/18/2019,8.85,up
7/19/2019,8.86,up
7/20/2019,8.86,same
7/21/2019,8.86,same
7/22/2019,8.88,up
7/23/2019,8.89,up
7/24/2019,8.9,up
7/25/2019,8.89,down
7/26/2019,8.9,up
7/27/2019,8.9,same
7/28/2019,8.9,same
7/29/2019,8.99,up
7/30/2019,9.09,up
7/31/2019,9.18,up
8/1/2019,9.22,up
8/2/2019,9.28,up
8/3/2019,9.28,same
8/4/2019,9.28,same
8/5/2019,9.4,up
8/6/2019,9.51,up
8/7/2019,9.61,up
8/8/2019,9.71,up
8/9/2019,9.79,up
8/10/2019,9.79,same
8/11/2019,9.79,same
8/12/2019,9.79,same
8/13/2019,9.79,same
8/14/2019,9.89,up
8/15/2019,9.89,same
8/16/2019,10.04,up
8/17/2019,10.04,same
8/18/2019,10.04,same
8/19/2019,10.08,up
8/20/2019,10.12,up
8/21/2019,10.17,up
8/22/2019,10.24,up
8/23/2019,10.28,up
8/24/2019,10.28,same
8/25/2019,10.28,same
8/26/2019,10.35,up
8/27/2019,10.39,up
8/28/2019,10.51,up
8/29/2019,10.61,up
8/30/2019,10.71,up
8/31/2019,10.71,same
9/1/2019,10.71,same
9/2/2019,10.83,up
9/3/2019,10.96,up
9/4/2019,11.02,up
9/5/2019,11.11,up
9/6/2019,11.17,up
9/7/2019,11.17,same
9/8/2019,11.17,same
9/9/2019,11.26,up
9/10/2019,11.6,up
9/11/2019,11.99,up
9/12/2019,12.4,up
9/13/2019,12.88,up
9/14/2019,12.88,same
9/15/2019,12.88,same
9/16/2019,13.18,up
9/17/2019,13.51,up
9/18/2019,13.85,up
9/19/2019,14.12,up
9/20/2019,14.43,up
9/21/2019,14.43,same
9/22/2019,14.43,same
9/23/2019,14.91,up
9/24/2019,14.82,down
9/25/2019,14.91,up
9/26/2019,15.09,up
9/27/2019,15.16,up
9/28/2019,15.16,same
9/29/2019,15.16,same
9/30/2019,15.19,up
10/1/2019,15.29,up
10/2/2019,15.24,down
10/3/2019,15.25,up
10/4/2019,15.26,up
10/5/2019,15.26,same
10/6/2019,15.26,same
10/7/2019,15.27,up
10/8/2019,15.27,same
10/9/2019,15.29,up
10/10/2019,15.3,up
10/11/2019,15.3,same
10/12/2019,15.3,same
10/13/2019,15.3,same
10/14/2019,15.33,up
10/15/2019,15.35,up
10/16/2019,15.37,up
10/17/2019,15.39,up
10/18/2019,15.44,up
10/19/2019,15.44,same
10/20/2019,15.44,same
10/21/2019,15.48,up
10/22/2019,15.51,up
10/23/2019,15.54,up
10/24/2019,15.57,up
10/25/2019,15.57,same
10/26/2019,15.57,same
10/27/2019,15.57,same
10/28/2019,15.59,up
10/29/2019,15.62,up
10/30/2019,15.64,up
10/31/2019,15.67,up
11/1/2019,15.67,same
11/2/2019,15.67,same
11/3/2019,15.67,same
11/4/2019,15.73,up
11/5/2019,15.77,up
11/6/2019,15.77,same
11/7/2019,15.83,up
11/8/2019,15.85,up
11/9/2019,15.85,same
11/10/2019,15.85,same
11/11/2019,15.85,same
11/12/2019,15.87,up
11/13/2019,15.9,up
11/14/2019,15.93,up
11/15/2019,15.96,up
11/16/2019,15.96,same
11/17/2019,15.96,same
11/18/2019,15.97,up
11/19/2019,16.02,up
11/20/2019,16.05,up
11/21/2019,16.07,up
11/22/2019,16.1,up
11/23/2019,16.1,same
11/24/2019,16.1,same
11/25/2019,16.13,up
11/26/2019,16.16,up
11/27/2019,16.17,up
11/28/2019,16.22,up
11/29/2019,16.25,up
11/30/2019,16.25,same
12/1/2019,16.25,same
12/2/2019,16.29,up
12/3/2019,16.31,up
12/4/2019,16.33,up
12/5/2019,16.36,up
12/6/2019,16.38,up
12/7/2019,16.38,same
12/8/2019,16.38,same
12/9/2019,16.41,up
12/10/2019,16.44,up
12/11/2019,16.48,up
12/12/2019,16.51,up
12/13/2019,16.54,up
12/14/2019,16.54,same
12/15/2019,16.54,same
12/16/2019,16.57,up
12/17/2019,16.58,up
12/18/2019,16.6,up
12/19/2019,16.61,up
12/20/2019,16.65,up
12/21/2019,16.65,same
12/22/2019,16.65,same
12/23/2019,16.65,same
12/24/2019,16.68,up
12/25/2019,16.68,same
12/26/2019,16.68,same
12/27/2019,16.7,up
12/28/2019,16.7,same
12/29/2019,16.7,same
12/30/2019,16.73,up
12/31/2019,16.73,same
1/1/2020,16.73,same
1/2/2020,16.8,up
1/3/2020,16.83,up
1/4/2020,16.83,same
1/5/2020,16.83,same
1/6/2020,16.85,up
1/7/2020,16.88,up
1/8/2020,16.91,up
1/9/2020,16.94,up
1/10/2020,16.97,up
1/11/2020,16.97,same
1/12/2020,16.97,same
1/13/2020,17,up
1/14/2020,17.03,up
1/15/2020,17.06,up
1/16/2020,17.1,up
1/17/2020,17.12,up
1/18/2020,17.12,same
1/19/2020,17.12,same
1/20/2020,17.14,up
1/21/2020,17.17,up
1/22/2020,17.19,up
1/23/2020,17.22,up
1/24/2020,17.24,up
1/25/2020,17.24,same
1/26/2020,17.24,same
1/27/2020,17.26,up
1/28/2020,17.28,up
1/29/2020,17.31,up
1/30/2020,17.34,up
1/31/2020,17.35,up
2/1/2020,17.35,same
2/2/2020,17.35,same
2/3/2020,17.38,up
2/4/2020,17.41,up
2/5/2020,17.44,up
2/6/2020,17.47,up
2/7/2020,17.5,up
2/8/2020,17.5,same
2/9/2020,17.5,same
2/10/2020,17.54,up
2/11/2020,17.58,up
2/12/2020,17.63,up
2/13/2020,17.67,up
2/14/2020,17.7,up
2/15/2020,17.7,same
2/16/2020,17.7,same
2/17/2020,17.74,up
2/18/2020,17.74,same
2/19/2020,17.77,up
2/20/2020,17.81,up
2/21/2020,17.81,same
2/22/2020,17.81,same
2/23/2020,17.81,same
2/24/2020,17.85,up
2/25/2020,17.87,up
2/26/2020,17.9,up
2/27/2020,17.93,up
2/28/2020,17.95,up
2/29/2020,17.95,same
3/1/2020,17.95,same
3/2/2020,17.99,up
3/3/2020,18.04,up
3/4/2020,18.07,up
3/5/2020,18.11,up
3/6/2020,18.15,up
3/7/2020,18.15,same
3/8/2020,18.15,same
3/9/2020,18.19,up
3/10/2020,18.22,up
3/11/2020,18.26,up
3/12/2020,18.36,up
3/13/2020,18.39,up
3/14/2020,18.39,same
3/15/2020,18.39,same
3/16/2020,18.42,up
3/17/2020,18.45,up
3/18/2020,23.49,up
3/19/2020,24.57,up
3/20/2020,24.9,up
3/21/2020,24.9,same
3/22/2020,24.9,same
3/23/2020,25.21,up
3/24/2020,25.53,up
3/25/2020,25.88,up
3/26/2020,26.11,up
3/27/2020,25,down
3/28/2020,25,same
3/29/2020,25,same
3/30/2020,25,same
3/31/2020,25,same
4/1/2020,25,same
4/2/2020,25,same
4/3/2020,25,same
4/4/2020,25,same
4/5/2020,25,same
4/6/2020,25,same
4/7/2020,25,same
4/8/2020,25,same
4/9/2020,25,same
4/10/2020,25,same
